                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91227,                0.82412,                 1.0787,                0.80043,                0.82094,                0.87573,                0.56407,                 1.3202,                 1.0648,                 1.2277,             0.00084162,             0.00084162,             0.00084162
                     36,                0.93168,                0.83818,                 1.0662,                0.85722,                0.91572,                 0.9085,                0.62862,                 1.2046,                 0.9285,                 1.1572,             0.00082925,             0.00082925,             0.00082925
                     37,                0.93396,                0.80595,                 1.0896,                0.89484,                0.85834,                0.93886,                0.68413,                 1.1278,                0.90982,                 1.0913,             0.00081688,             0.00081688,             0.00081688
                     38,                0.83723,                0.75709,                 1.0483,                0.92498,                0.89883,                0.93336,                0.67167,                 1.1811,                0.88423,                 1.1195,              0.0008045,              0.0008045,              0.0008045
                     39,                0.88771,                0.75756,                 1.0577,                0.90221,                0.92038,                0.91082,                0.64427,                 1.2239,                0.93949,                 1.1441,             0.00079213,             0.00079213,             0.00079213
                     40,                0.87357,                0.76129,                 1.0571,                0.91618,                0.91058,                0.93143,                0.66387,                  1.119,                0.87562,                 1.0862,             0.00077975,             0.00077975,             0.00077975
                     41,                0.83476,                0.70693,                 1.0258,                0.91287,                0.94512,                0.95136,                0.66846,                 1.1522,                0.91039,                 1.1114,             0.00076738,             0.00076738,             0.00076738
                     42,                0.85565,                0.74249,                 1.0692,                0.89997,                0.91414,                0.94195,                0.66899,                 1.1361,                0.86668,                 1.1229,               0.000755,               0.000755,               0.000755
                     43,                0.82735,                0.74347,                 1.0432,                0.93298,                0.93864,                0.95994,                0.69447,                  1.132,                0.78688,                 1.1102,             0.00074263,             0.00074263,             0.00074263
                     44,                0.79272,                0.68083,                 1.0012,                0.84436,                0.92456,                0.94191,                0.68592,                 1.1221,                0.87672,                 1.1215,             0.00073025,             0.00073025,             0.00073025
                     45,                0.82577,                0.68582,                 1.0265,                0.89697,                0.87272,                 0.9324,                0.66483,                 1.1345,                0.88147,                 1.1388,             0.00071788,             0.00071788,             0.00071788
                     46,                0.81567,                0.67394,                 1.0168,                0.86137,                 0.9508,                 0.9497,                0.70896,                 1.0373,                0.83831,                 1.0877,              0.0007055,              0.0007055,              0.0007055
                     47,                0.80005,                0.67648,                 1.0171,                0.78468,                0.87936,                0.88482,                 0.6764,                  1.079,                0.95173,                 1.1322,             0.00069313,             0.00069313,             0.00069313
                     48,                0.84129,                0.70736,                 1.0477,                0.85004,                0.86172,                0.92294,                0.67169,                 1.0746,                0.95414,                 1.1053,             0.00068075,             0.00068075,             0.00068075
                     49,                0.82355,                0.66459,                 1.0157,                0.88644,                0.84842,                0.91724,                0.67416,                 1.1117,                0.90651,                 1.1184,             0.00066838,             0.00066838,             0.00066838
                     50,                0.80215,                0.67811,                 1.0298,                0.89041,                0.90329,                0.92068,                0.68173,                 1.1249,                0.80216,                 1.1422,               0.000656,               0.000656,               0.000656
                     51,                0.79435,                0.65253,                 1.0187,                 0.9056,                0.90232,                0.94994,                 0.6908,                 1.0725,                0.76774,                 1.0961,             0.00064362,             0.00064362,             0.00064362
                     52,                0.81527,                0.67575,                 1.0286,                 0.8968,                0.92573,                0.96386,                 0.7128,                 1.0525,                0.78604,                 1.0829,             0.00063125,             0.00063125,             0.00063125
